date,start time,stop time,perfect pushup BW,pushup BW,pullup BW,pistol squat with chair BW,cat hairball ST,dog yawn ST,full founder ST,IT band foam roll,piriformis vertical foam roll,piriformis horizontal foam roll,standing hip flexor ST,head to knees straight ST,wall sit BW,in outs BW,pushup BW,child pose ST,runs indoor track,runs outdoor track,runs street,bench,pulley row,bench incline,squat,curl,shoulder fly,cable curls,pulley tricep pulldown,iso lateral super incline press,overhead resistance press,leg press,iso lateral high row,forearm rope curl,dumbell press,standing military press,dumbbell curl,one arm dumbbell row,bench bar row,smith press squat,Dumbell military press,Cable standing superman curls,Cable standing pull downs,Cable standing pull ups,Preacher curls,Deadlift,Leg extension ,shoulder rolls,scapular shrugs,cat-camels,straight arm overhead pull downs band,straight arm chest flies band,dislocates band,wrist mobility ,leg swings front side,full body circles,wall extensions,plank,side plank,reverse plank,hollow hold,arch hold,wall plank,parallel bar support,diamond pushup,vertical row,horizontal row,deep body squat,l sit foot supported,dips floor raised leg
1/5/2016,21:06,21:19,4;15;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2016,2:55,3:03,,,2;10;165||2;6;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2016,18:39,19:15,3;10;165||1;25;165||1;20;165,,3;5;165,4;5;165,1;5;165,3;3;165,1;3;165,,,,1;3;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2016,18:02,18:56,1;25;165||1;20;165||3;15;165||1;10;165,,3;5;165,,,,,,,,,1;15;165,3;15;165,4;15;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2016,17:38,19:23,4;15;165,,1;10;165||2;8;165||5;5;165,2;3;165||2;4;165,,,,,,,,1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2016,21:49,22:13,2;20;165,,2;5;165,1;3;165,,3;3;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2016,18:54,19:33,4;10;165,,,,,,,,,,,,4;25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2016,12:44,13:05,,,3;5;165||2;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2016,23:21,23:29,,,2;5;165,,,,,,,,,,,1;15;165,3;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2016,20:15,21:09,5;10;165||1;15;165,,5;5;165||1;10;165,1;3;165,1;7;165,3;5;165,,,,,,,5;10;165,,,1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2016,16:58,17:06,,,,,,,,,,,,,,,,,1.0;8:06;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2016,20:33,21:15,,,,4;3;165,,,,,,,,,,,4;15;165||1;25;165||1;10;165||1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2016,13:53,14:35,,,,,,,,,,,,,,,,,1.0;8:30;165,,,1;10;115||3;10;135,1;10;35||1;10;42.5||2;10;50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2016,13:41,14:30,,,2;6;165,,,,,,,,,,,,,,2.0;20:52;165,,,,,4;5;115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2016,14:34,15:42,,,,,,,,,,,,,,,,,1.0;7:57;165,,,4;6;135,1;10;50||3;7;90,,,,,4;10;35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2016,18:27,19:38,,,1;5;165||5;5;165,,,,,,,,,,,,,,1.0;7:49;165,,,2;5;155,,4;6;135,4;5;115,,,,4;8;35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2016,11:25,12:14,,,,,,,,,,,,,,,,,1.0;8:43;165,,,,,4;5;135,4;4;115,1;10;25||2;8;25,2;5;15,,,1;10;45||3;8;65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2016,15:58,16:44,,,,,,,,,,,,,,,,,1.0;7:43;165,,,4;7;135,,,,,,,,,,1;10;120||3;8;170,3;8;140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2016,17:55,18:43,,,2;7;163,,,,,,,,,,,,,,1.0;8:27;165,,,4;7;135,,,4;5;135,2;6;20,1;6;12,,,,,,,1;1;15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2016,16:20,16:48,,,,,,,,,,,,,,,,,1.0;7:36;165,,,,,,,,,,,,,,,2;1;15,2;10;50,2;7;30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2016,12:34,13:00,,,,,,,,,,,,,,,,,1.0;8:13;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2016,11:29,12:00,,,2;6;165||2;4;165,,,,,,,,,,,,,,,,,4;10;135,,,4;5;135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2016,21:27,21:40,,,,,,,,,,,,,,,1;25;165||1;20;165||1;15;165||1;10;165||1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2016,11:30,11:59,,,1;5;165,,,,,,,,,,,,,,1.0;7;41;165,,,,,4;7;135,,,,,,,,,,4;1;10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2016,12:31,13:18,,,,,,,,,,,,,,,,,1.0;8:06;168,,,,,,4;5;135,,,,,1;15;45,2;10;110||2;5;110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2016,11:34,12:09,,,,,,,,,,,,,,,,,1.0;7:53;168,,,,,,,,,,,,,,,,3;10;60||1;10;50,,2;7;30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/2016,11:25,12:06,,,,,,,,,,,,,,,,,,,,,4;10;50,4;8;135,4;6;135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2016,12:53,13:33,,,1;5;168,,,,,,,,,,,,,,,,,,,,2;5;115||2;4;115||2;4;95,,,,,,,,,,2;10;50||2;15;50,,4;6;30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2016,16:16,17:08,,,,,,,,,,,,,,,,,,,,,,4;8;135,4;4;115,,,,,,,,,,,,,4;8;45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2016,12:38,12:58,,,,,,,,,,,,,,,,,1.0;8:26;165||0.5;3:58;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2016,11:42,12:16,,,,,,,,,,,,,,,,,,,,,,,2;4;95||4;4;115,,,,,,,,,,4;15;50,,,,4;10;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2016,15:40,16:05,,,,,3;5;165,3;5;165,1;2;165||1;3;165,,,,2;2;165,1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2016,11:40,12:01,,,2;7;165,,,,,,,,,,,,,,1.0;8:25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2016,11:43,12:10,,,4;4;165,,,,,,,,,,,,,,,,,,,1;10;135||2;7;155||1;5;135,,,,,,,,,,,,,4;6;30,,4;10;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2016,11:40,12:10,,,,,,,,,,,,,,,,,1.0;9:01;165,,,,,,,,,,,,,,,,,1;10;60||1;10;40||3;10;60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2016,19:36,20:30,,,,,,,,,,,,,,,,,1.0;7:58;165,,,4;6;135,,4;5;135,4;5;95||2;4;115,,,,,,,,,2;1;10,,,,,4;6;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2016,16:14,16:47,,,,,,,,,,,,,,,,,0.5;4:33;165,,,,,,4;4;115,,,,,1;10;90||2;5;180||2;7;140,,2;7;180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2016,12:56,13:20,,,1;5;165,,,,,,,,,,,,,,1.5;14:31;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2016,12:50,13:07,,,,,,,,,,,,,,,,,1.5;13:02;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2016,10:45,11:39,,,,,,,,,,,,,,,,,,,,4;5;135||4;4;155,,,2;4;135,,,,,,,,,,,4;10;50||4;4;70,,,4;7;95,4;5;115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2016,13:55,14:11,,,,,,,,,,,,,,,,,1.5;12:59;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2016,13:40,13:58,,,,,,,,,,,,,,,,,1.5;14:52;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2016,13:40,13:55,,,,,,,,,,,,,,,,,1.5;13:56;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2016,11:40,12:31,,,,,,,,,,,,,,,,,,,,,4;10;100,4;7;135,4;5;2016||4;4;2016,,,1;6;35,,,,,,,4;10;50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2016,4:20,5:10,,,2;4;165,,,,,,,,,,,,,,,,,,4;7;100,,4;4;115,,,4;7;35,1;4;50||4;7;35,,,,,,4;7;40,,,,,,4;7;40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2016,13:40,14:00,,,,,,,,,,,,,,,,,1.5;12:49;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2016,19:34,19:59,,4;25;165,,,,,,,,,,,,4;25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2016,19:33,20:36,,,,,,,,,,,,,,,,,,,,4;5;155,,4;10;115,,,,,,,,4;6;180,,,,,4;8;25,,4;8;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2016,16:30,16:59,,,,,,,,,,,,,,,,,,,2.89;28:04;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2016,14:30,15:00,,,,,,,,,,,,,,,,,,,2.56;25:32;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2016,21:49,22:04,,10;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2016,12:17,12:30,,5;10;165,,,,,,,,,,,,5;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2016,13:35,13:55,,,,,,,,,,,,,,,,,,,2.04;18:49;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2016,19:56,18:20,,,,,,,,,,,,,,,,,,,2.26;22:45;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2016,12:15,13:03,,,2;4;165,,,,,,,,,,,,,,,,,4;5;135||4;5;155||4;2;175,4;7;50,,,,,,,,,,,,,,4;5;25,,,,4;8;25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2016,13:30,13:53,,,,,,,,,,,,,,,,,,,2.2;21:55;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2016,10:45,12:00,,,,,,,,,,,,,,,,,0.5;04:07;165,,,4;5;135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2016,16:40,17:02,,,,,,,,,,,,,,,,,,,2.09;19:38;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2016,14:04,14:25,,,,,,,,,,,,,,,,,,,2.28;20:50;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2016,12:30,12:50,,,,,,,,,,,,,,,,,,,2.21;19:28;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2016,13:56,14:17,,,,,,,,,,,,,,,,,,,2.12;19:21;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2016,15:22,16:04,5;10;165,,,,,,,,,,,,,,,,,,3.19;28:26;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2016,15:09,15:20,1;25;165||2;10;165||1;5;165,,,,,,,,,,,,,,,,,,2.02;18:03;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2016,14:24,14:49,1;25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2016,13:31,15:57,10;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2016,17:17,17:37,,,,,,,,,,,,,,,,,,,2.07;18:47;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2016,15:00,15:20,,,,,,,,,,,,,,,,,,,2.01;18:21;2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2016,14:30,15:00,,,,,,,,,,,,,,,,,,,2.26;20:10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2016,14:30,15:00,,,,,,,,,,,,,,,,,,,2.91;29:50;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2016,18:07,18:12,,5;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2016,14:45,15:05,,,,,,,,,,,,,,,,,,,1.91;16:23;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2016,19:45,20:13,,,,,,,,,,,,,,,,,,,2.26;23:20;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2016,22:15,22:25,,5;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2016,11:45,11:56,,6;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2016,13:01,13:25,,,,,,,,,,,,,,,,,,,2.01;22:58;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2016,13:45,14:09,,,,,,,,,,,,,,,,,,,,5;10;130,,,,5;6;55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2016,17:15,17:45,,5;10;165,,,,,,,,,,,,,,,,,1.23;14:50;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2016,12:11,12:41,,,2;5;165,,,,,,,,,,,,,,,,1.37;21:56;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2016,14:30,14:53,,,,,,,,,,,,,,,,,,,2.01;18:48;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,13:30,13:40,,,2;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,17:11,17:30,,,,,,,,,,,,,,,,,,,1.03;9:13;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,20:43,21:02,,,4;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2016,14:58,16:08,,,4;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2016,18:51,20:45,,,4;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
