date,start time,stop time,perfect pushup BW,pushup BW,pullup BW,pistol squat with chair BW,cat hairball ST,dog yawn ST,full founder ST,IT band foam roll,piriformis vertical foam roll,piriformis horizontal foam roll,standing hip flexor ST,head to knees straight ST,wall sit BW,in outs BW,pushup BW,child pose ST,runs indoor track,runs outdoor track,runs street,bench,pulley row,bench incline,squat,curl,shoulder fly,cable curls,pulley tricep pulldown,iso lateral super incline press,overhead resistance press,leg press,iso lateral high row,forearm rope curl,dumbell press,standing military press,dumbbell curl,one arm dumbbell row,bench bar row,smith press squat,Dumbell military press,Cable standing superman curls,Cable standing pull downs,Cable standing pull ups,Preacher curls,Deadlift,Leg extension ,shoulder rolls,scapular shrugs,cat-camels,straight arm overhead pull downs band,straight arm chest flies band,dislocates band,wrist mobility ,leg swings front side,full body circles,wall extensions,plank,side plank,reverse plank,hollow hold,arch hold,wall plank,parallel bar support,diamond pushup,vertical row,horizontal row,deep body squat,l sit foot supported,dips floor raised leg
09/29/2016,20:05,21:22,,4;15;167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2016,14:22,15:06,,2;15;167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2016,15:50,16:20,,,,,,,,,,,,,,,,,0.5;4:22;164,,,4;6;135,,,,,,,,,,,,,,,2;6;25,,4;5;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2016,5:10,5:50,,,2;5;164,,,,,,,,,,,,,,,,,,3;10;35,,2;5;95,,,,,,,,,,3;10;50,,,,,,,,,,,,4;5;145,,,,,,,1;10;164,,,,1;30;164,,,,,,,,,,,,
10/5/2016,5:10,5:55,,,3;8;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;8;25,,,,,3;8;95,,,,1;5;164,,,,1;5;164,,,,,,,,,,,,,,,,
10/8/2016,6:12,6:44,,,,,,,,,,,,,,,,,,,,2;8;155||1;8;135,3;8;42.5,,3;8;85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2016,5:05,5:44,,,3;8;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;8;30,,,,,2;8;95||1;8;105,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2016,6:30,7:01,,,,,,,,,,,,,,,,,,,,2;8;135||1;8;155,3;8;100,,3;8;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2016,5:15,5:55,,,3;8;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;8;40,,,,,3;8;115,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2016,5:15,6:00,,,,,,,,,,,,,,,,,,,,3;8;135,3;8;100,,1;8;105||1;8;95,,,,,,,1;8;180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/2016,8:10,8:42,,,3;8;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;8;45,,,,,2;8;115||3;8;125,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2016,5:10,5:45,,,,,,,,,,,,,,,,,,,,3;8;135,,,1;8;115,,,,,,,,,,,,,,3;8;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2016,5:10,5:50,,,3;8;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;7;50||2;9;40,,,,,2;8;115||1;8;135,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2016,23:12,23:59,,,2;5;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2016,17:55,19:30,,1;20;164,3;8;164||3;5;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;164,,,
11/5/2016,9:08,9:30,2;20;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;164,,,,,,,,,,,,,,,,,
11/7/2016,13:30,14:30,,,3;8;164,,,,,,,,,,,,,,,,,,3;8;120,,2;8;95||1;8;115,,,,,,,,,,1;8;40||2;8;45||1;8;50,,3;8;25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2016,5:00,5:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;8;35,,,,,3;8;95,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2016,5:20,6:00,,,,,,,,,,,,,,,,,,,,3;8;135,3;8;100,,3;8;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2016,8:07,8:09,1;25;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2016,20:56,21:43,,1;25;164||2;15;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2016,7:50,8:08,,2;15;164,2;6;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/2016,7:50,8:02,,2;15;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2016,11:40,12:15,,,3;8;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;8;35,,,,,3;8;95,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2016,18:42,19:30,,4;20;164||4;5;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;5;164,,,,,,,,,,,,,,,,,
11/28/2016,18:06,18:30,,1;20;164||1;5;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;5;164,,,,,,,,,,,,,,,1;25;164,,
11/28/2016,20:34,20:52,,1;20;164||1;5;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;5;164,,,,,,,,,,,,,,,1;25;164,,
12/2/2016,5:06,5:53,,,,,,,,,,,,,,,,,,,,4;5;135||1;5;155,,,1;5;45||3;5;95||1;5;115,,,,,,,,,,,,,,5;5;95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2016,11:56,13:30,,2;5;164||4;10;164||2;15;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2;25;164,,
12/3/2016,19:30,19:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;5;164||1;10;164,,,
12/05/2016,5:10,5:56,,,5;5;164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;4;45||4;5;35,,,,,1;5;45||3;5;95||1;5;115,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2016,5:10,5:47,,,,,,,,,,,,,,,,,,,,3;5;135||2;5;155,2;5;100||3;5;120,,,,,,,,,,,,,,,,,1;5;50||2;5;70||2;5;90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2016,5:45,6:15,,2;25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;164,1;10;164,1;10;164,,,,,,,,,,,,3;5;165,2;25;165,,
12/13/2016,5:21,6:00,,2;20;165||1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,,,,,,,,,1;10;165,2;20;165||1;10;165,,
12/15/2016,7:36,8:02,2;25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,1;10;165,,,,,,,,,,,,,2;25;165,,
12/17/2016,7:35,8:45,1;25;165,,5;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,1;10;165,,,,,,,,,,,,5;5;164,1;25;165,,
12/17/2016,23:30,23:40,,,2;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/2016,8:33,8:38,,,2;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,,,,,,,,,,,,,
12/20/2016,5:15,5:39,,,5;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2;5;25||3;5;30,,,,,3;5;95||2;5;115,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2016,6:30,7:37,,2;25;165,1;7;165||2;6;165||1;8;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,,,,,,,,,,,,,
12/25/2016,10:00,10:33,,2;25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,,,,,,,,,,,,,,,,2;25;165,,
12/28/2016,19:07,21:14,,4;25;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,,1;10;165,,,,,,,,,,,,,,,,
12/29/2016,11:17,11:46,,1;25;165||1;15;165||1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,1;10;165,,,,,,,,,,,,,,2;25;165,,
12/29/2016,19:02,19:05,,1;20;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2017,12:45,13:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,1;10;165,1;10;165,1;10;165,1;10;165,,,,,,,,,,,,,,
01/01/2017,13:44,15:08,,,6;5;165||2;8;165||1;4;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2017,6:50,7:00,,,,,3;5;165,3;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2017,15:15,16:20,2;20;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,1;10;165,1;10;165,1;10;165,1;10;165,,,,,,,,,,,1;10;165,2;25;165,,
01/03/2017,6:05,6:08,,,,,3;5;165,3;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2017,5:59,6:07,,,,,5;1;165,3;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2017,19:12,19:35,,,,,,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,,,,,,,,,3;25;165,,
01/08/2017,20:17,21:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,,,,,,,,,2;25;165,,
01/10/2017,4:54,5:27,,2;25;165,,,5;1;165,3;3;165,1;5;165,1;5;165,1;5;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2017,18:15,18:47,,,3;5;165,,,,,1;5;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,,,,,,,,,,,,,
01/11/2017,4:49,5:15,,,,,5;1;165,3;1;165,1;3;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2017,18:59,19:09,,,3;5;165,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017,4:40,4:53,,,,,5;1;165,3;3;165,1;3;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017,20:15,20:37,,,3;5;165,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2017,4:45,5:10,,,,,5;1;165,3;3;165,,1;5;165,1;5;165,,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2017,19:30,19:35,,,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2017,6:10,6:19,,,,,5;1;165,3;5;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2017,23:14,23:24,,,,,5;1;165,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2017,17:18,17:37,,,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
01/15/2017,17:53,18:55,,,6;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/2017,7:49,7:55,,,,,5;1;165,3;5;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/2017,20:04,20:35,,2;10;165||2;15;165,,1;5;165,5;1;165,,1;3;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2017,8:16,8:24,,,,,5;1;165,2;5;165,,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2017,18:50,19:05,,,,,5;1;165,3;4;165,1;10;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/18/2017,8:36,8:40,,,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/18/2017,18:22,18:48,,,,,5;1;165,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
01/19/2017,7:36,7:48,,,,,3;2;165,3;5;165,1;10;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2017,19:26,19:56,,1;20;165||1;15;165||1;10;165||1;5;165,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,1;10;165,,,,,,,,,,,,,,,,
1/20/2017,7:40,8:02,,1;20;165,,,5;1;165,3;3;165,1;10;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;20;165,,
1/21/2017,13:09,13:55,,1;20;165||1;15;165,1;8;165,,5;1;165,3;3;165,1;10;164,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,1;10;165,1;10;165,,,,,,,,,,,,,,1;20;165,,
1/23/2017,7:40,7:49,,,,,5;1;165,3;3;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2017,7:14,7:30,,,,,5;1;165,3;3;165,1;5;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2017,13:34,13:55,,,,,5;1;165,3;4;165,1;10;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2017,15:30,16:03,,,,,5;1;165,2;3;165,1;10;165,1;5;165,1;5;165,1;5;165,1;5;165,1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
1/30/2017,8:12,8:17,,,,,,,1;10;165,,,,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2017,7:22,7:48,,1;20;165,,,5;1;165,3;3;165,1;10;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
2/1/2017,19:05,19:08,,,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2017,5:25,5:30,,,,,,,,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2017,7:15,7:30,,,1;6;165||1;7;165||1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2017,19:28,19:36,,,,,5;1;165,3;3;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2017,10:42,11:26,,1;20;165||1;15;165,1;7;165,,5;1;165,3;3;165,1;5;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2017,7:55,8:19,,,2;5;165||1;7;165||1;8;165,,5;1;165,3;5;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2017,8:09,8:30,,,1;10;158||1;7;158||1;5;158,,5;1;158,3;5;158,1;10;158,1;5;158,1;5;158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2017,8:02,8:18,,,1;10;158||1;5;158,,3;1;158,3;3;158,1;5;158,1;5;158,1;5;158,,1;5;158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2017,20:06,20:15,,,4;5;158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2017,10:00,10:17,,,,,,,1;10;156,1;10;156,1;10;156,,1;10;156,1;10;156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,